 sc Dstrippipe Lconnect Lpipe Lstrip M Rbeam Rbpm Rconn Riso1 Rpipe Rstrip Strip WStrip Xcurved Xstraight alfa angle beam_charge beam_sigma modes tap transStrip xbeam ybeam  Freq[GHz] Imp_Real[Ohm] Imp_Imag[Ohm]
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.15358716404842 -0.012171691971065 -1.8304525769763
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.1556349929024 0.0049729913495227 -1.8256663411452
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.15768282175638 0.020067277746809 -1.8357933036706
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.15973065061036 0.022347858100073 -1.8541069546606
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.16177847946434 0.0099434151972341 -1.8679251279363
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.16382630831832 -0.008617523428278 -1.8675059712568
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.16587413717229 -0.020259645375665 -1.8530289652703
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.16792196602627 -0.016558483602471 -1.8346645326047
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.16996979488025 0.0001852083229449 -1.8255498652484
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.17201762373423 0.018366910162212 -1.8325217795208
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.17406545258821 0.025130285071601 -1.8511409765197
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.17611328144219 0.015463209945776 -1.8686201171226
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.17816111029617 -0.0040941553642128 -1.8727294095367
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.18020893915015 -0.019861081573496 -1.8604783452237
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.18225676800413 -0.020574246556266 -1.8404148702008
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.18430459685811 -0.005415562823399 -1.8267918989067
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.18635242571208 0.015206715405268 -1.8295808585275
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.18840025456606 0.026813120348986 -1.8473276658741
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.19044808342004 0.021026436563847 -1.867963244608
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.19249591227402 0.0016177814464171 -1.8771434817366
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.194543741128 -0.017930753436077 -1.868356320913
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.19659156998198 -0.023779913584962 -1.8476772962872
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.19863939883596 -0.011514764515859 -1.8297103043088
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.20068722768994 0.01055602362389 -1.8274216500467
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.20273505654392 0.027035219889064 -1.8429429335446
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.2047828853979 0.026186931964025 -1.8658619959949
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.20683071425187 0.0082975313384119 -1.8803467439603
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.20887854310585 -0.014303638828658 -1.8762293143991
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.21092637195983 -0.025729962044272 -1.8562923670299
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.21297420081381 -0.017690456259375 -1.8345425561799
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.21502202966779 0.0045173830543133 -1.8265276237249
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.21706985852177 0.025498536159158 -1.8383899581491
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.21911768737575 0.030441232031769 -1.862360473566
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.22116551622973 0.015578558287987 -1.8819879608967
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.22321334508371 -0.0089544405832534 -1.883587703184
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.22526117393768 -0.026018770453553 -1.8659434940898
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.22730900279166 -0.023432074953093 -1.8413891852016
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.22935683164564 -0.0026467323821351 -1.8273549278098
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.23140466049962 0.02203086013598 -1.8341707576818
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.2334524893536 0.033295337867961 -1.8576595878371
 1.33 2.9 6.38 200 120 1 1.1 4 0.55 3.5 34.4 29.02 4.38 1 3.09 6.2 11.6 15 1.7e-008 50 1 21.021491482805 12.25 0 10 0.23550031820758 0.022984386401549 -1.8818239105835
